county,precinct,office,district,party,candidate,votes,absentee,early_votes,election_day
Orange,33134,U.S. House,47,DEM,ALAN LOWENTHAL,61,59,1,1
Orange,33134,U.S. House,47,REP,JOHN BRISCOE,51,51,0,0
Orange,34092,U.S. House,47,DEM,ALAN LOWENTHAL,102,96,3,3
Orange,34092,U.S. House,47,REP,JOHN BRISCOE,74,74,0,0
Orange,34337,U.S. House,47,DEM,ALAN LOWENTHAL,378,261,2,115
Orange,34337,U.S. House,47,REP,JOHN BRISCOE,333,235,5,93
Orange,35125,U.S. House,47,DEM,ALAN LOWENTHAL,586,398,1,187
Orange,35125,U.S. House,47,REP,JOHN BRISCOE,822,497,2,323
Orange,35129,U.S. House,47,DEM,ALAN LOWENTHAL,756,415,5,336
Orange,35129,U.S. House,47,REP,JOHN BRISCOE,866,480,8,378
Orange,35134,U.S. House,47,DEM,ALAN LOWENTHAL,644,393,7,244
Orange,35134,U.S. House,47,REP,JOHN BRISCOE,745,451,4,290
Orange,35140,U.S. House,47,DEM,ALAN LOWENTHAL,585,375,3,207
Orange,35140,U.S. House,47,REP,JOHN BRISCOE,629,377,4,248
Orange,39204,U.S. House,47,DEM,ALAN LOWENTHAL,579,333,10,236
Orange,39204,U.S. House,47,REP,JOHN BRISCOE,592,319,9,264
Orange,39206,U.S. House,47,DEM,ALAN LOWENTHAL,330,211,7,112
Orange,39206,U.S. House,47,REP,JOHN BRISCOE,209,146,3,60
Orange,39207,U.S. House,47,DEM,ALAN LOWENTHAL,446,261,5,180
Orange,39207,U.S. House,47,REP,JOHN BRISCOE,278,183,2,93
Orange,39208,U.S. House,47,DEM,ALAN LOWENTHAL,441,282,8,151
Orange,39208,U.S. House,47,REP,JOHN BRISCOE,441,289,4,148
Orange,39217,U.S. House,47,DEM,ALAN LOWENTHAL,723,433,7,283
Orange,39217,U.S. House,47,REP,JOHN BRISCOE,884,582,4,298
Orange,39219,U.S. House,47,DEM,ALAN LOWENTHAL,442,311,1,130
Orange,39219,U.S. House,47,REP,JOHN BRISCOE,285,188,0,97
Orange,39220,U.S. House,47,DEM,ALAN LOWENTHAL,521,337,1,183
Orange,39220,U.S. House,47,REP,JOHN BRISCOE,390,283,1,106
Orange,39221,U.S. House,47,DEM,ALAN LOWENTHAL,342,207,7,128
Orange,39221,U.S. House,47,REP,JOHN BRISCOE,348,197,3,148
Orange,39222,U.S. House,47,DEM,ALAN LOWENTHAL,220,136,4,80
Orange,39222,U.S. House,47,REP,JOHN BRISCOE,143,85,5,53
Orange,39223,U.S. House,47,DEM,ALAN LOWENTHAL,885,552,8,325
Orange,39223,U.S. House,47,REP,JOHN BRISCOE,532,389,7,136
Orange,39239,U.S. House,47,DEM,ALAN LOWENTHAL,459,326,5,128
Orange,39239,U.S. House,47,REP,JOHN BRISCOE,302,217,0,85
Orange,39335,U.S. House,47,DEM,ALAN LOWENTHAL,380,279,4,97
Orange,39335,U.S. House,47,REP,JOHN BRISCOE,246,173,0,73
Orange,39341,U.S. House,47,DEM,ALAN LOWENTHAL,108,80,0,28
Orange,39341,U.S. House,47,REP,JOHN BRISCOE,87,74,0,13
Orange,39344,U.S. House,47,DEM,ALAN LOWENTHAL,334,241,4,89
Orange,39344,U.S. House,47,REP,JOHN BRISCOE,313,237,0,76
Orange,39346,U.S. House,47,DEM,ALAN LOWENTHAL,356,216,2,138
Orange,39346,U.S. House,47,REP,JOHN BRISCOE,294,176,4,114
Orange,39350,U.S. House,47,DEM,ALAN LOWENTHAL,468,288,10,170
Orange,39350,U.S. House,47,REP,JOHN BRISCOE,442,242,1,199
Orange,39369,U.S. House,47,DEM,ALAN LOWENTHAL,747,486,2,259
Orange,39369,U.S. House,47,REP,JOHN BRISCOE,637,404,6,227
Orange,39375,U.S. House,47,DEM,ALAN LOWENTHAL,500,315,7,178
Orange,39375,U.S. House,47,REP,JOHN BRISCOE,665,434,3,228
Orange,14047,U.S. House,48,DEM,HARLEY ROUDA,712,484,5,223
Orange,14047,U.S. House,48,REP,DANA ROHRABACHER,511,398,1,112
Orange,14249,U.S. House,48,DEM,HARLEY ROUDA,204,125,2,77
Orange,14249,U.S. House,48,REP,DANA ROHRABACHER,135,104,0,31
Orange,14250,U.S. House,48,DEM,HARLEY ROUDA,243,172,12,59
Orange,14250,U.S. House,48,REP,DANA ROHRABACHER,186,155,0,31
Orange,14252,U.S. House,48,DEM,HARLEY ROUDA,178,123,3,52
Orange,14252,U.S. House,48,REP,DANA ROHRABACHER,129,91,0,38
Orange,14257,U.S. House,48,DEM,HARLEY ROUDA,303,205,1,97
Orange,14257,U.S. House,48,REP,DANA ROHRABACHER,308,214,2,92
Orange,14275,U.S. House,48,DEM,HARLEY ROUDA,278,177,3,98
Orange,14275,U.S. House,48,REP,DANA ROHRABACHER,263,194,1,68
Orange,14317,U.S. House,48,DEM,HARLEY ROUDA,334,216,6,112
Orange,14317,U.S. House,48,REP,DANA ROHRABACHER,314,246,0,68
Orange,14709,U.S. House,48,DEM,HARLEY ROUDA,442,325,1,116
Orange,14709,U.S. House,48,REP,DANA ROHRABACHER,415,322,2,91
Orange,25381,U.S. House,48,DEM,HARLEY ROUDA,0,0,0,0
Orange,25381,U.S. House,48,REP,DANA ROHRABACHER,0,0,0,0
Orange,31002,U.S. House,48,DEM,HARLEY ROUDA,914,656,28,230
Orange,31002,U.S. House,48,REP,DANA ROHRABACHER,1081,724,23,334
Orange,31003,U.S. House,48,DEM,HARLEY ROUDA,0,0,0,0
Orange,31003,U.S. House,48,REP,DANA ROHRABACHER,0,0,0,0
Orange,31004,U.S. House,48,DEM,HARLEY ROUDA,433,307,7,119
Orange,31004,U.S. House,48,REP,DANA ROHRABACHER,325,234,4,87
Orange,31005,U.S. House,48,DEM,HARLEY ROUDA,319,228,1,90
Orange,31005,U.S. House,48,REP,DANA ROHRABACHER,305,219,3,83
Orange,31009,U.S. House,48,DEM,HARLEY ROUDA,669,452,15,202
Orange,31009,U.S. House,48,REP,DANA ROHRABACHER,684,418,8,258
Orange,31010,U.S. House,48,DEM,HARLEY ROUDA,493,328,11,154
Orange,31010,U.S. House,48,REP,DANA ROHRABACHER,517,368,9,140
Orange,31013,U.S. House,48,DEM,HARLEY ROUDA,335,191,3,141
Orange,31013,U.S. House,48,REP,DANA ROHRABACHER,231,149,3,79
Orange,31014,U.S. House,48,DEM,HARLEY ROUDA,216,162,2,52
Orange,31014,U.S. House,48,REP,DANA ROHRABACHER,238,168,1,69
Orange,31016,U.S. House,48,DEM,HARLEY ROUDA,678,427,8,243
Orange,31016,U.S. House,48,REP,DANA ROHRABACHER,780,506,9,265
Orange,31017,U.S. House,48,DEM,HARLEY ROUDA,596,385,10,201
Orange,31017,U.S. House,48,REP,DANA ROHRABACHER,658,417,10,231
Orange,31018,U.S. House,48,DEM,HARLEY ROUDA,0,0,0,0
Orange,31018,U.S. House,48,REP,DANA ROHRABACHER,0,0,0,0
Orange,31201,U.S. House,48,DEM,HARLEY ROUDA,743,520,21,202
Orange,31201,U.S. House,48,REP,DANA ROHRABACHER,783,504,15,264
Orange,31210,U.S. House,48,DEM,HARLEY ROUDA,127,86,0,41
Orange,31210,U.S. House,48,REP,DANA ROHRABACHER,119,88,0,31
Orange,31213,U.S. House,48,DEM,HARLEY ROUDA,152,86,5,61
Orange,31213,U.S. House,48,REP,DANA ROHRABACHER,176,101,1,74
Orange,31214,U.S. House,48,DEM,HARLEY ROUDA,661,405,10,246
Orange,31214,U.S. House,48,REP,DANA ROHRABACHER,704,414,8,282
Orange,31216,U.S. House,48,DEM,HARLEY ROUDA,586,379,14,193
Orange,31216,U.S. House,48,REP,DANA ROHRABACHER,656,452,5,199
Orange,31218,U.S. House,48,DEM,HARLEY ROUDA,754,496,10,248
Orange,31218,U.S. House,48,REP,DANA ROHRABACHER,556,398,7,151
Orange,31223,U.S. House,48,DEM,HARLEY ROUDA,630,440,24,166
Orange,31223,U.S. House,48,REP,DANA ROHRABACHER,527,329,11,187
Orange,31224,U.S. House,48,DEM,HARLEY ROUDA,658,443,23,192
Orange,31224,U.S. House,48,REP,DANA ROHRABACHER,685,462,6,217
Orange,31225,U.S. House,48,DEM,HARLEY ROUDA,475,321,10,144
Orange,31225,U.S. House,48,REP,DANA ROHRABACHER,527,330,11,186
Orange,31241,U.S. House,48,DEM,HARLEY ROUDA,377,223,9,145
Orange,31241,U.S. House,48,REP,DANA ROHRABACHER,219,143,3,73
Orange,31242,U.S. House,48,DEM,HARLEY ROUDA,311,209,3,99
Orange,31242,U.S. House,48,REP,DANA ROHRABACHER,334,230,7,97
Orange,31246,U.S. House,48,DEM,HARLEY ROUDA,292,184,4,104
Orange,31246,U.S. House,48,REP,DANA ROHRABACHER,267,160,1,106
Orange,31247,U.S. House,48,DEM,HARLEY ROUDA,715,462,9,244
Orange,31247,U.S. House,48,REP,DANA ROHRABACHER,632,415,18,199
Orange,31248,U.S. House,48,DEM,HARLEY ROUDA,606,355,6,245
Orange,31248,U.S. House,48,REP,DANA ROHRABACHER,506,307,8,191
Orange,32100,U.S. House,48,DEM,HARLEY ROUDA,990,609,14,367
Orange,32100,U.S. House,48,REP,DANA ROHRABACHER,688,393,14,281
Orange,32101,U.S. House,48,DEM,HARLEY ROUDA,374,251,18,105
Orange,32101,U.S. House,48,REP,DANA ROHRABACHER,584,376,4,204
Orange,32102,U.S. House,48,DEM,HARLEY ROUDA,437,296,10,131
Orange,32102,U.S. House,48,REP,DANA ROHRABACHER,713,464,10,239
Orange,32103,U.S. House,48,DEM,HARLEY ROUDA,768,484,49,235
Orange,32103,U.S. House,48,REP,DANA ROHRABACHER,662,390,21,251
Orange,32106,U.S. House,48,DEM,HARLEY ROUDA,318,167,27,124
Orange,32106,U.S. House,48,REP,DANA ROHRABACHER,259,152,11,96
Orange,32109,U.S. House,48,DEM,HARLEY ROUDA,196,143,10,43
Orange,32109,U.S. House,48,REP,DANA ROHRABACHER,277,173,13,91
Orange,32111,U.S. House,48,DEM,HARLEY ROUDA,1,0,0,1
Orange,32111,U.S. House,48,REP,DANA ROHRABACHER,5,3,0,2
Orange,32112,U.S. House,48,DEM,HARLEY ROUDA,59,55,2,2
Orange,32112,U.S. House,48,REP,DANA ROHRABACHER,85,81,1,3
Orange,32137,U.S. House,48,DEM,HARLEY ROUDA,253,147,7,99
Orange,32137,U.S. House,48,REP,DANA ROHRABACHER,135,75,6,54
Orange,32142,U.S. House,48,DEM,HARLEY ROUDA,968,683,56,229
Orange,32142,U.S. House,48,REP,DANA ROHRABACHER,821,543,47,231
Orange,32143,U.S. House,48,DEM,HARLEY ROUDA,594,470,9,115
Orange,32143,U.S. House,48,REP,DANA ROHRABACHER,559,425,13,121
Orange,32145,U.S. House,48,DEM,HARLEY ROUDA,319,220,13,86
Orange,32145,U.S. House,48,REP,DANA ROHRABACHER,415,299,17,99
Orange,32146,U.S. House,48,DEM,HARLEY ROUDA,853,603,30,220
Orange,32146,U.S. House,48,REP,DANA ROHRABACHER,920,586,30,304
Orange,32157,U.S. House,48,DEM,HARLEY ROUDA,264,197,6,61
Orange,32157,U.S. House,48,REP,DANA ROHRABACHER,559,423,12,124
Orange,32160,U.S. House,48,DEM,HARLEY ROUDA,861,572,43,246
Orange,32160,U.S. House,48,REP,DANA ROHRABACHER,586,385,17,184
Orange,32171,U.S. House,48,DEM,HARLEY ROUDA,702,433,23,246
Orange,32171,U.S. House,48,REP,DANA ROHRABACHER,635,397,26,212
Orange,32178,U.S. House,48,DEM,HARLEY ROUDA,755,408,28,319
Orange,32178,U.S. House,48,REP,DANA ROHRABACHER,383,223,6,154
Orange,32179,U.S. House,48,DEM,HARLEY ROUDA,530,368,5,157
Orange,32179,U.S. House,48,REP,DANA ROHRABACHER,601,387,10,204
Orange,32180,U.S. House,48,DEM,HARLEY ROUDA,315,194,8,113
Orange,32180,U.S. House,48,REP,DANA ROHRABACHER,302,186,4,112
Orange,32184,U.S. House,48,DEM,HARLEY ROUDA,605,388,16,201
Orange,32184,U.S. House,48,REP,DANA ROHRABACHER,630,421,5,204
Orange,32188,U.S. House,48,DEM,HARLEY ROUDA,480,290,18,172
Orange,32188,U.S. House,48,REP,DANA ROHRABACHER,529,335,14,180
Orange,32190,U.S. House,48,DEM,HARLEY ROUDA,599,358,29,212
Orange,32190,U.S. House,48,REP,DANA ROHRABACHER,512,303,11,198
Orange,32193,U.S. House,48,DEM,HARLEY ROUDA,705,430,20,255
Orange,32193,U.S. House,48,REP,DANA ROHRABACHER,740,417,8,315
Orange,32195,U.S. House,48,DEM,HARLEY ROUDA,904,565,37,302
Orange,32195,U.S. House,48,REP,DANA ROHRABACHER,780,464,32,284
Orange,32196,U.S. House,48,DEM,HARLEY ROUDA,660,451,20,189
Orange,32196,U.S. House,48,REP,DANA ROHRABACHER,668,447,12,209
Orange,32200,U.S. House,48,DEM,HARLEY ROUDA,650,425,27,198
Orange,32200,U.S. House,48,REP,DANA ROHRABACHER,656,416,19,221
Orange,32205,U.S. House,48,DEM,HARLEY ROUDA,831,558,32,241
Orange,32205,U.S. House,48,REP,DANA ROHRABACHER,834,531,9,294
Orange,32208,U.S. House,48,DEM,HARLEY ROUDA,871,657,45,169
Orange,32208,U.S. House,48,REP,DANA ROHRABACHER,1186,899,29,258
Orange,32210,U.S. House,48,DEM,HARLEY ROUDA,0,0,0,0
Orange,32210,U.S. House,48,REP,DANA ROHRABACHER,0,0,0,0
Orange,32211,U.S. House,48,DEM,HARLEY ROUDA,23,22,0,1
Orange,32211,U.S. House,48,REP,DANA ROHRABACHER,44,43,0,1
Orange,32212,U.S. House,48,DEM,HARLEY ROUDA,229,119,5,105
Orange,32212,U.S. House,48,REP,DANA ROHRABACHER,228,114,2,112
Orange,32232,U.S. House,48,DEM,HARLEY ROUDA,520,299,13,208
Orange,32232,U.S. House,48,REP,DANA ROHRABACHER,571,317,12,242
Orange,32265,U.S. House,48,DEM,HARLEY ROUDA,484,330,12,142
Orange,32265,U.S. House,48,REP,DANA ROHRABACHER,479,304,5,170
Orange,32266,U.S. House,48,DEM,HARLEY ROUDA,594,395,19,180
Orange,32266,U.S. House,48,REP,DANA ROHRABACHER,633,393,13,227
Orange,32267,U.S. House,48,DEM,HARLEY ROUDA,909,592,31,286
Orange,32267,U.S. House,48,REP,DANA ROHRABACHER,833,505,15,313
Orange,32269,U.S. House,48,DEM,HARLEY ROUDA,746,510,11,225
Orange,32269,U.S. House,48,REP,DANA ROHRABACHER,896,597,12,287
Orange,32270,U.S. House,48,DEM,HARLEY ROUDA,608,389,32,187
Orange,32270,U.S. House,48,REP,DANA ROHRABACHER,581,388,9,184
Orange,32280,U.S. House,48,DEM,HARLEY ROUDA,226,147,1,78
Orange,32280,U.S. House,48,REP,DANA ROHRABACHER,290,202,3,85
Orange,32282,U.S. House,48,DEM,HARLEY ROUDA,628,369,13,246
Orange,32282,U.S. House,48,REP,DANA ROHRABACHER,569,311,11,247
Orange,32287,U.S. House,48,DEM,HARLEY ROUDA,770,522,22,226
Orange,32287,U.S. House,48,REP,DANA ROHRABACHER,759,505,8,246
Orange,32295,U.S. House,48,DEM,HARLEY ROUDA,336,208,8,120
Orange,32295,U.S. House,48,REP,DANA ROHRABACHER,363,201,3,159
Orange,32300,U.S. House,48,DEM,HARLEY ROUDA,91,89,2,0
Orange,32300,U.S. House,48,REP,DANA ROHRABACHER,107,104,2,1
Orange,32302,U.S. House,48,DEM,HARLEY ROUDA,583,370,16,197
Orange,32302,U.S. House,48,REP,DANA ROHRABACHER,553,352,11,190
Orange,32303,U.S. House,48,DEM,HARLEY ROUDA,826,533,16,277
Orange,32303,U.S. House,48,REP,DANA ROHRABACHER,526,319,10,197
Orange,32305,U.S. House,48,DEM,HARLEY ROUDA,1079,776,28,275
Orange,32305,U.S. House,48,REP,DANA ROHRABACHER,1155,768,32,355
Orange,32306,U.S. House,48,DEM,HARLEY ROUDA,975,671,34,270
Orange,32306,U.S. House,48,REP,DANA ROHRABACHER,1120,711,18,391
Orange,32307,U.S. House,48,DEM,HARLEY ROUDA,757,501,22,234
Orange,32307,U.S. House,48,REP,DANA ROHRABACHER,633,395,19,219
Orange,32308,U.S. House,48,DEM,HARLEY ROUDA,712,436,17,259
Orange,32308,U.S. House,48,REP,DANA ROHRABACHER,613,371,6,236
Orange,32309,U.S. House,48,DEM,HARLEY ROUDA,448,277,9,162
Orange,32309,U.S. House,48,REP,DANA ROHRABACHER,436,264,3,169
Orange,32312,U.S. House,48,DEM,HARLEY ROUDA,533,326,13,194
Orange,32312,U.S. House,48,REP,DANA ROHRABACHER,514,288,4,222
Orange,32319,U.S. House,48,DEM,HARLEY ROUDA,359,252,9,98
Orange,32319,U.S. House,48,REP,DANA ROHRABACHER,384,255,0,129
Orange,32320,U.S. House,48,DEM,HARLEY ROUDA,294,197,4,93
Orange,32320,U.S. House,48,REP,DANA ROHRABACHER,245,159,5,81
Orange,32335,U.S. House,48,DEM,HARLEY ROUDA,743,555,28,160
Orange,32335,U.S. House,48,REP,DANA ROHRABACHER,523,351,13,159
Orange,32337,U.S. House,48,DEM,HARLEY ROUDA,527,364,13,150
Orange,32337,U.S. House,48,REP,DANA ROHRABACHER,470,321,9,140
Orange,32338,U.S. House,48,DEM,HARLEY ROUDA,519,326,22,171
Orange,32338,U.S. House,48,REP,DANA ROHRABACHER,439,258,12,169
Orange,32345,U.S. House,48,DEM,HARLEY ROUDA,274,179,13,82
Orange,32345,U.S. House,48,REP,DANA ROHRABACHER,237,151,7,79
Orange,32347,U.S. House,48,DEM,HARLEY ROUDA,338,240,12,86
Orange,32347,U.S. House,48,REP,DANA ROHRABACHER,334,218,11,105
Orange,32349,U.S. House,48,DEM,HARLEY ROUDA,706,484,29,193
Orange,32349,U.S. House,48,REP,DANA ROHRABACHER,818,530,19,269
Orange,32355,U.S. House,48,DEM,HARLEY ROUDA,319,220,11,88
Orange,32355,U.S. House,48,REP,DANA ROHRABACHER,409,257,8,144
Orange,32358,U.S. House,48,DEM,HARLEY ROUDA,289,211,8,70
Orange,32358,U.S. House,48,REP,DANA ROHRABACHER,258,160,4,94
Orange,32362,U.S. House,48,DEM,HARLEY ROUDA,52,51,1,0
Orange,32362,U.S. House,48,REP,DANA ROHRABACHER,92,89,3,0
Orange,32365,U.S. House,48,DEM,HARLEY ROUDA,396,237,17,142
Orange,32365,U.S. House,48,REP,DANA ROHRABACHER,331,197,13,121
Orange,32366,U.S. House,48,DEM,HARLEY ROUDA,413,232,13,168
Orange,32366,U.S. House,48,REP,DANA ROHRABACHER,359,189,6,164
Orange,32367,U.S. House,48,DEM,HARLEY ROUDA,202,144,1,57
Orange,32367,U.S. House,48,REP,DANA ROHRABACHER,249,162,2,85
Orange,32368,U.S. House,48,DEM,HARLEY ROUDA,296,210,5,81
Orange,32368,U.S. House,48,REP,DANA ROHRABACHER,262,188,5,69
Orange,32369,U.S. House,48,DEM,HARLEY ROUDA,437,266,11,160
Orange,32369,U.S. House,48,REP,DANA ROHRABACHER,284,186,6,92
Orange,32370,U.S. House,48,DEM,HARLEY ROUDA,958,555,21,382
Orange,32370,U.S. House,48,REP,DANA ROHRABACHER,495,310,22,163
Orange,32376,U.S. House,48,DEM,HARLEY ROUDA,860,515,24,321
Orange,32376,U.S. House,48,REP,DANA ROHRABACHER,761,467,22,272
Orange,32379,U.S. House,48,DEM,HARLEY ROUDA,708,444,30,234
Orange,32379,U.S. House,48,REP,DANA ROHRABACHER,596,383,15,198
Orange,32388,U.S. House,48,DEM,HARLEY ROUDA,178,116,12,50
Orange,32388,U.S. House,48,REP,DANA ROHRABACHER,209,131,6,72
Orange,32393,U.S. House,48,DEM,HARLEY ROUDA,784,565,17,202
Orange,32393,U.S. House,48,REP,DANA ROHRABACHER,735,511,18,206
Orange,32395,U.S. House,48,DEM,HARLEY ROUDA,485,287,15,183
Orange,32395,U.S. House,48,REP,DANA ROHRABACHER,323,176,7,140
Orange,32397,U.S. House,48,DEM,HARLEY ROUDA,612,372,17,223
Orange,32397,U.S. House,48,REP,DANA ROHRABACHER,379,222,10,147
Orange,32400,U.S. House,48,DEM,HARLEY ROUDA,372,245,8,119
Orange,32400,U.S. House,48,REP,DANA ROHRABACHER,565,382,10,173
Orange,32401,U.S. House,48,DEM,HARLEY ROUDA,265,197,10,58
Orange,32401,U.S. House,48,REP,DANA ROHRABACHER,278,204,9,65
Orange,32402,U.S. House,48,DEM,HARLEY ROUDA,254,152,3,99
Orange,32402,U.S. House,48,REP,DANA ROHRABACHER,209,131,1,77
Orange,32403,U.S. House,48,DEM,HARLEY ROUDA,25,25,0,0
Orange,32403,U.S. House,48,REP,DANA ROHRABACHER,26,25,0,1
Orange,32404,U.S. House,48,DEM,HARLEY ROUDA,348,206,11,131
Orange,32404,U.S. House,48,REP,DANA ROHRABACHER,320,201,9,110
Orange,32408,U.S. House,48,DEM,HARLEY ROUDA,403,215,23,165
Orange,32408,U.S. House,48,REP,DANA ROHRABACHER,169,94,6,69
Orange,32412,U.S. House,48,DEM,HARLEY ROUDA,800,565,12,223
Orange,32412,U.S. House,48,REP,DANA ROHRABACHER,993,719,16,258
Orange,32701,U.S. House,48,DEM,HARLEY ROUDA,786,472,64,250
Orange,32701,U.S. House,48,REP,DANA ROHRABACHER,792,503,31,258
Orange,32702,U.S. House,48,DEM,HARLEY ROUDA,750,495,12,243
Orange,32702,U.S. House,48,REP,DANA ROHRABACHER,628,361,12,255
Orange,34091,U.S. House,48,DEM,HARLEY ROUDA,72,66,0,6
Orange,34091,U.S. House,48,REP,DANA ROHRABACHER,44,41,2,1
Orange,34093,U.S. House,48,DEM,HARLEY ROUDA,119,61,0,58
Orange,34093,U.S. House,48,REP,DANA ROHRABACHER,71,45,0,26
Orange,34095,U.S. House,48,DEM,HARLEY ROUDA,80,69,2,9
Orange,34095,U.S. House,48,REP,DANA ROHRABACHER,82,77,0,5
Orange,34097,U.S. House,48,DEM,HARLEY ROUDA,203,135,3,65
Orange,34097,U.S. House,48,REP,DANA ROHRABACHER,145,111,0,34
Orange,34098,U.S. House,48,DEM,HARLEY ROUDA,104,65,2,37
Orange,34098,U.S. House,48,REP,DANA ROHRABACHER,91,63,3,25
Orange,36003,U.S. House,48,DEM,HARLEY ROUDA,632,515,3,114
Orange,36003,U.S. House,48,REP,DANA ROHRABACHER,648,492,0,156
Orange,36007,U.S. House,48,DEM,HARLEY ROUDA,1478,1207,9,262
Orange,36007,U.S. House,48,REP,DANA ROHRABACHER,1383,1091,4,288
Orange,36008,U.S. House,48,DEM,HARLEY ROUDA,397,299,0,98
Orange,36008,U.S. House,48,REP,DANA ROHRABACHER,388,275,0,113
Orange,36105,U.S. House,48,DEM,HARLEY ROUDA,239,138,1,100
Orange,36105,U.S. House,48,REP,DANA ROHRABACHER,257,148,0,109
Orange,36264,U.S. House,48,DEM,HARLEY ROUDA,620,355,12,253
Orange,36264,U.S. House,48,REP,DANA ROHRABACHER,482,266,2,214
Orange,36265,U.S. House,48,DEM,HARLEY ROUDA,346,213,1,132
Orange,36265,U.S. House,48,REP,DANA ROHRABACHER,318,194,2,122
Orange,36266,U.S. House,48,DEM,HARLEY ROUDA,359,232,4,123
Orange,36266,U.S. House,48,REP,DANA ROHRABACHER,284,173,0,111
Orange,36268,U.S. House,48,DEM,HARLEY ROUDA,713,465,15,233
Orange,36268,U.S. House,48,REP,DANA ROHRABACHER,675,434,9,232
Orange,36279,U.S. House,48,DEM,HARLEY ROUDA,747,480,11,256
Orange,36279,U.S. House,48,REP,DANA ROHRABACHER,721,430,4,287
Orange,36317,U.S. House,48,DEM,HARLEY ROUDA,4,4,0,0
Orange,36317,U.S. House,48,REP,DANA ROHRABACHER,4,4,0,0
Orange,36318,U.S. House,48,DEM,HARLEY ROUDA,19,19,0,0
Orange,36318,U.S. House,48,REP,DANA ROHRABACHER,22,20,2,0
Orange,36320,U.S. House,48,DEM,HARLEY ROUDA,227,127,5,95
Orange,36320,U.S. House,48,REP,DANA ROHRABACHER,123,59,0,64
Orange,36328,U.S. House,48,DEM,HARLEY ROUDA,0,0,0,0
Orange,36328,U.S. House,48,REP,DANA ROHRABACHER,0,0,0,0
Orange,36329,U.S. House,48,DEM,HARLEY ROUDA,382,242,13,127
Orange,36329,U.S. House,48,REP,DANA ROHRABACHER,290,196,2,92
Orange,36331,U.S. House,48,DEM,HARLEY ROUDA,0,0,0,0
Orange,36331,U.S. House,48,REP,DANA ROHRABACHER,0,0,0,0
Orange,36339,U.S. House,48,DEM,HARLEY ROUDA,325,197,10,118
Orange,36339,U.S. House,48,REP,DANA ROHRABACHER,199,102,1,96
Orange,36340,U.S. House,48,DEM,HARLEY ROUDA,652,456,9,187
Orange,36340,U.S. House,48,REP,DANA ROHRABACHER,542,363,7,172
Orange,36346,U.S. House,48,DEM,HARLEY ROUDA,1,1,0,0
Orange,36346,U.S. House,48,REP,DANA ROHRABACHER,0,0,0,0
Orange,36347,U.S. House,48,DEM,HARLEY ROUDA,90,48,0,42
Orange,36347,U.S. House,48,REP,DANA ROHRABACHER,148,74,2,72
Orange,37202,U.S. House,48,DEM,HARLEY ROUDA,0,0,0,0
Orange,37202,U.S. House,48,REP,DANA ROHRABACHER,0,0,0,0
Orange,37203,U.S. House,48,DEM,HARLEY ROUDA,0,0,0,0
Orange,37203,U.S. House,48,REP,DANA ROHRABACHER,0,0,0,0
Orange,37204,U.S. House,48,DEM,HARLEY ROUDA,0,0,0,0
Orange,37204,U.S. House,48,REP,DANA ROHRABACHER,0,0,0,0
Orange,39201,U.S. House,48,DEM,HARLEY ROUDA,521,354,2,165
Orange,39201,U.S. House,48,REP,DANA ROHRABACHER,543,354,7,182
Orange,39232,U.S. House,48,DEM,HARLEY ROUDA,1,0,1,0
Orange,39232,U.S. House,48,REP,DANA ROHRABACHER,0,0,0,0
Orange,39233,U.S. House,48,DEM,HARLEY ROUDA,60,59,0,1
Orange,39233,U.S. House,48,REP,DANA ROHRABACHER,78,77,0,1
Orange,39234,U.S. House,48,DEM,HARLEY ROUDA,808,573,11,224
Orange,39234,U.S. House,48,REP,DANA ROHRABACHER,773,633,6,134
Orange,39243,U.S. House,48,DEM,HARLEY ROUDA,71,69,0,2
Orange,39243,U.S. House,48,REP,DANA ROHRABACHER,92,89,1,2
Orange,39245,U.S. House,48,DEM,HARLEY ROUDA,0,0,0,0
Orange,39245,U.S. House,48,REP,DANA ROHRABACHER,0,0,0,0
Orange,39274,U.S. House,48,DEM,HARLEY ROUDA,51,43,1,7
Orange,39274,U.S. House,48,REP,DANA ROHRABACHER,72,67,1,4
Orange,39275,U.S. House,48,DEM,HARLEY ROUDA,619,391,6,222
Orange,39275,U.S. House,48,REP,DANA ROHRABACHER,692,484,4,204
Orange,39312,U.S. House,48,DEM,HARLEY ROUDA,0,0,0,0
Orange,39312,U.S. House,48,REP,DANA ROHRABACHER,0,0,0,0
Orange,39315,U.S. House,48,DEM,HARLEY ROUDA,0,0,0,0
Orange,39315,U.S. House,48,REP,DANA ROHRABACHER,0,0,0,0
Orange,39317,U.S. House,48,DEM,HARLEY ROUDA,251,163,2,86
Orange,39317,U.S. House,48,REP,DANA ROHRABACHER,248,185,3,60
Orange,39361,U.S. House,48,DEM,HARLEY ROUDA,502,373,5,124
Orange,39361,U.S. House,48,REP,DANA ROHRABACHER,613,498,5,110
Orange,39364,U.S. House,48,DEM,HARLEY ROUDA,531,358,11,162
Orange,39364,U.S. House,48,REP,DANA ROHRABACHER,511,356,6,149
Orange,39373,U.S. House,48,DEM,HARLEY ROUDA,750,526,8,216
Orange,39373,U.S. House,48,REP,DANA ROHRABACHER,736,507,3,226
Orange,39376,U.S. House,48,DEM,HARLEY ROUDA,375,253,2,120
Orange,39376,U.S. House,48,REP,DANA ROHRABACHER,369,285,1,83
